SNo,Symbol,Confidence,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,PrevClose,Turnover,Transactions,Diff,Range,ChangePercent,RangePercent,VWAP %,Weeks52High,Weeks52Low,Date,Days120,Days180
257,UPPER,54.16,474.0,504.3,461.0,473.0,473.0,0.0,0.0,477.99,129093.0,469.0,61705701.2,882,4.0,43.3,0.85,9.39,-1.06,781.3,354.0,2023-01-01,,
249,UPPER,48.49,478.0,478.0,455.0,471.0,471.0,0.0,0.0,471.22,77641.0,473.0,36585638.6,517,-2.0,23.0,-0.42,5.05,-0.05,781.3,354.0,2023-01-02,,
253,UPPER,46.86,475.0,480.0,466.5,469.0,469.0,0.0,0.0,472.8,57746.0,471.0,27302263.9,392,-2.0,13.5,-0.42,2.89,-0.81,781.3,354.0,2023-01-03,,
254,UPPER,46.52,468.0,481.0,465.0,474.0,474.0,0.0,0.0,474.16,70745.0,469.0,33544725.8,408,5.0,16.0,1.07,3.44,-0.03,781.3,354.0,2023-01-04,,
255,UPPER,52.76,483.4,498.0,481.0,485.0,485.0,0.0,0.0,486.9,157476.0,474.0,76674737.8,703,11.0,17.0,2.32,3.53,-0.39,781.3,354.0,2023-01-05,,
255,UPPER,55.08,490.0,520.0,480.0,508.0,508.0,0.0,0.0,507.08,267484.0,485.0,135636635.9,980,23.0,40.0,4.74,8.33,0.18,781.3,354.0,2023-01-08,,
253,UPPER,56.52,508.0,544.0,508.0,538.1,538.1,0.0,0.0,529.51,171000.0,508.0,90546577.0,1031,30.1,36.0,5.93,7.09,1.6,781.3,354.0,2023-01-09,,
250,UPPER,57.18,548.7,581.4,535.0,544.0,544.0,0.0,0.0,555.94,277512.0,538.1,154280402.3,1529,5.9,46.4,1.1,8.67,-2.2,781.3,354.0,2023-01-10,,
248,UPPER,55.29,553.0,576.0,536.0,543.0,543.0,0.0,0.0,549.2,233977.0,544.0,128499923.1,1324,-1.0,40.0,-0.18,7.46,-1.14,781.3,354.0,2023-01-12,,
246,UPPER,53.17,550.0,569.0,532.0,568.0,568.0,0.0,0.0,555.8,204818.0,543.0,113838159.5,1202,25.0,37.0,4.6,6.95,2.15,781.3,354.0,2023-01-17,,
